Дата запуска,Блюдо,Количество повторных продаж,Стоимость по меню,Фактическая цена реализации за ед,Продано количество,Подарено по акции,Количество продаж с уценкой,Кол-во товаров проданных по спец цене ПЛ,Кол-во товаров проданных за живчики,Кол-во списаний,закупка
07.01.2024,Варенье из клубники без сахара 210г,0.0,190,0,0.0,0,0,0,0,1.0,1.0
06.03.2019,"Васаби, порц",18.0,19,10,29.0,0,0,0,0,0.0,29.0
04.11.2021,Вафли ореховые 150гр,1.0,79,79,4.0,0,0,0,0,0.0,4.0
04.11.2021,Вафли сливочные 150гр,0.0,79,79,5.0,0,0,0,0,0.0,5.0
04.11.2021,Вафли шоколадные 150гр,0.0,79,52,6.0,0,0,0,474,0.0,477.0
14.04.2022,"Ваша овсянка, Сэр, с изюмом и корицей",4.0,196,0,0.0,0,0,0,0,9.0,9.0
10.01.2025,"Ваша овсянка, Сэр, с изюмом и корицей. ИП Ульшина Инна Гарьевна",4.0,164,158,6.0,0,2,0,0,0.0,8.0
14.04.2021,"Ветчина ""Из мяса индейки с языком и фисташками""",0.0,255,179,1.0,0,1,0,0,19.0,20.0
23.07.2024,"Ветчина из мяса индейки без глютена, 150г",0.0,282,278,1.0,0,0,0,0,3.0,4.0
23.07.2024,"Ветчина по-испански из свинины в/к, 170г",0.0,470,299,3.0,0,2,0,0,2.0,7.0
04.10.2019,Вилка черная,13.0,12,0,610.0,0,0,0,0,0.0,613.0
16.09.2019,"Винегрет с молодой сельдью, шт",13.0,176,0,0.0,0,0,0,0,7.0,7.0
17.03.2025,"Винегрет с молодой сельдью, шт. Маркетинг и еда",13.0,232,151,28.0,0,0,0,0,7.0,35.0
13.12.2023,Винегрет семейная порция,0.0,307,0,0.0,0,0,0,0,3.0,3.0
07.12.2024,Винегрет семейная порция. ИП Селиванова С. Л. (Тюмень),0.0,307,307,2.0,0,0,0,0,0.0,2.0
19.02.2025,Винегрет. КАЧЕСТВО ВКУСА,19.0,262,97,59.0,0,0,0,0,6.0,65.0
08.02.2023,Вино игристое безалкогольное белое Винья Албали Спарклинг Уайт 0.75л,0.0,1099,1099,1.0,0,0,0,0,0.0,1.0
20.01.2023,Вино игристое безалкогольное розовое Винья Албали Спарклинг Розе 0.75л,0.0,6594,1099,6.0,0,0,0,0,0.0,6.0
05.04.2021,Виноград зеленый шайн мускат 500 гр.,0.0,149,149,1.0,0,0,0,0,0.0,1.0
06.04.2021,"Виноград красный ,500 г",0.0,149,0,0.0,0,0,0,0,1.0,1.0
14.09.2022,"Виноградный сок прямого отжима 1,0",0.0,355,355,1.0,0,0,0,0,0.0,1.0
17.08.2023,"Влажные салфетки мини, 8 шт",2.0,35,19,13.0,0,0,0,0,0.0,13.0
05.04.2023,"Вода минеральная газированная 0,3 литра",5.0,41,30,11.0,0,0,0,0,0.0,11.0
15.08.2023,"Вода минеральная газированная 0,5л ЭР",8.0,67,35,27.0,0,0,0,0,0.0,27.0
13.07.2023,"Вода минеральная газированная 1,5л ЭР",10.0,69,46,22.0,0,0,0,0,0.0,22.0
21.04.2023,"Вода минеральная негазированная 0,3 литра",12.0,55,30,35.0,0,0,0,0,0.0,35.0
15.08.2023,"Вода минеральная негазированная 0,5л ЭР",19.0,68,35,43.0,0,0,0,0,0.0,45.0
15.08.2023,"Вода минеральная негазированная 1,5л ЭР",25.0,92,45,51.0,0,0,0,0,0.0,51.0
03.04.2023,Вода минеральная негазированная 5 литров,8.0,110,95,15.0,0,0,0,0,0.0,15.0
24.08.2023,"Вода щелочная 0,5л",2.0,107,107,5.0,0,0,0,0,0.0,5.0
09.09.2024,Вупи пай с вишней,5.0,120,119,13.0,0,1,0,0,3.0,17.0
09.09.2024,Вупи пай с клубникой,6.0,180,124,15.0,0,1,0,0,3.0,18.0
05.04.2021,Вырезка деликатесная,0.0,755,0,0.0,0,0,0,0,1.0,1.0
18.04.2024,"Газировка Абрикос 0,5 л",0.0,182,136,8.0,0,0,0,0,0.0,8.0
18.04.2024,"Газировка Вишня 0,5 л",8.0,155,135,15.0,0,0,0,0,0.0,15.0
15.07.2022,Газировка Клубника,7.0,172,119,13.0,0,0,0,0,1.0,14.0
15.07.2022,Газировка Маракуйя,2.0,124,124,2.0,0,0,0,0,0.0,2.0
18.10.2023,"Газировка Орех кола 0,33л",4.0,125,125,8.0,0,0,0,0,0.0,8.0
04.01.2022,Галеты льняные 110гр,1.0,58,29,6.0,0,0,0,522,0.0,529.0
13.12.2022,"Галя, у нас замена, латте халва стакан 400",31.0,358,162,53.0,0,0,0,0,0.0,53.0
10.10.2024,Гематоген с кедровым орехом,5.0,84,35,12.0,0,0,0,0,0.0,12.0
08.12.2023,"Говядина к/в Премиум, с/н (100г), в/у",0.0,320,268,2.0,0,1,0,0,8.0,11.0
16.06.2022,Говядина конфи с сырным муссом и картофельным пюре,7.0,290,223,18.0,0,3,14,0,4.0,34.0
18.10.2023,"Говяжье легкое сушеное, 50г",1.0,199,199,3.0,0,0,0,0,0.0,3.0
22.03.2024,Голубец ленивый в томатном соусе с булгуром и шпинатом,1.0,255,0,0.0,0,0,0,0,6.0,6.0
17.01.2025,Голубец ленивый в томатном соусе с булгуром и шпинатом. Маркетинг и еда,1.0,255,247,5.0,0,1,0,0,1.0,7.0
04.04.2023,Голубика 125г. ИП ГЛАЗКОВА ОЛЬГА ВЯЧЕСЛАВОВНА,2.0,798,399,2.0,0,0,0,0,0.0,2.0
09.01.2025,Горячий онигири с курицей чили . ИП Ульшина Инна Гарьевна,0.0,145,145,1.0,0,0,0,0,0.0,1.0
25.08.2020,Горячий тост в яйце с курицей и сыром 205г,29.0,209,0,0.0,0,0,0,0,4.0,4.0
16.01.2025,Горячий тост в яйце с курицей и сыром 205г. Маркетинг и еда,29.0,409,193,61.0,0,4,0,0,10.0,74.0
27.07.2022,Горячий тост в яйце с сыром,19.0,175,0,0.0,0,0,0,0,12.0,12.0
16.01.2025,Горячий тост в яйце с сыром. Маркетинг и еда,19.0,253,151,40.0,0,0,0,0,7.0,48.0
16.04.2019,Горячий шоколад ,0.0,150,150,1.0,0,0,0,0,0.0,1.0
11.03.2019,Гранат вес ,0.0,330,0,0.0,0,0,0,0,0.824,1.0
14.10.2024,Гранат очищенный 80 гр.,0.0,259,259,1.0,0,0,0,0,7.0,8.0
13.09.2022,"Гранатовый сок 0,2л",2.0,160,120,8.0,0,0,0,0,0.0,8.0
15.09.2022,Гранатовый сок 1л,0.0,384,384,1.0,0,0,0,0,0.0,1.0
23.04.2023,Гратен картофельный,1.0,205,0,0.0,0,0,0,0,7.0,7.0
14.01.2025,Гратен картофельный. КАЧЕСТВО ВКУСА,1.0,184,184,2.0,0,0,0,0,0.0,2.0
21.07.2024,"Грейпфрут 1 шт, 300 г",0.0,125,0,0.0,0,0,0,0,1.0,1.0
29.04.2022,Греча (гарнир) 180гр,1.0,103,0,0.0,0,0,0,0,7.0,7.0
